avg_size,len,bytes,long_enough,arm_chosen,delta_bmr,stored,type_idx
18209,1201,21869056,0,0,0,0,8
17432.8,1405,24493056,0,0,0,0,8
11380.2,1066,12131328,0,0,0,0,8
10171.6,1325,13477376,0,0,0,0,8
11558.1,1074,12413440,0,0,0,0,8
16889.1,1264,21347840,0,0,0,0,8
12944.2,1001,12957184,0,0,0,0,8
13965.7,1337,18672128,0,0,0,0,8
10562.2,1041,10995200,0,0,0,0,8
38201.1,1035,39538176,0,0,0,0,8
9259.3,1289,11935232,0,0,0,0,8
25260.2,883,22304768,0,0,0,0,8
4096,1103,4517888,0,0,0,0,8
4093.29,755,3090432,0,0,0,0,8
4096,1015,4157440,0,0,0,0,8
4199.14,1514,6357504,0,0,0,0,8
13705.4,1066,14609920,0,0,0,0,8
8319.53,1365,11356160,0,0,0,0,8
4096,383,1568768,0,0,0,0,8
4887.44,1103,5390848,0,0,0,0,8
97155.3,780,75781120,0,0,0,0,8
10190.4,1002,10210816,0,0,0,0,8
7542.48,1251,9435648,0,0,0,0,8
7459.65,1106,8250368,0,0,0,0,8
10677.9,1022,10912768,0,0,0,0,0
7351.1,1222,8983040,0,0,0,0,0
11423.8,564,6443008,0,0,0,0,0
32799.1,1004,32930304,0,0,0,0,8
270594,1029,278441472,0,0,0,0,8
11407.1,941,10734080,0,0,0,0,8
69517.6,1016,70629888,0,0,0,0,8
6538.14,1199,7839232,0,0,0,0,8
5493.98,2363,12982272,0,0,0,0,8
10303.1,1095,11281920,0,0,0,0,8
4422.44,1043,4612608,0,0,0,0,8
5817.9,1008,5864448,0,0,0,0,8
8899.89,954,8490496,0,0,0,0,8
10299.1,1005,10350592,0,0,0,0,8
5091.72,1539,7836160,0,0,0,0,8
8410.93,1036,8713728,0,0,0,0,8
11683.3,1165,13611008,0,0,0,0,8
6496.52,1037,6736896,0,0,0,0,8
7164.96,1010,7236608,0,0,0,0,9
7477.64,630,4710912,0,0,0,0,9
9612.61,670,6440448,0,0,0,0,9
8413.42,1029,8657408,0,0,0,0,9
6413.09,1408,9029632,0,0,0,0,9
7251.35,1204,8730624,0,0,0,0,9
6924.81,1539,10657280,0,0,0,0,9
8768.58,658,5769728,0,0,0,0,9
8553.22,1090,9323008,0,0,0,0,9
8004.98,1451,11615232,0,0,0,0,9
9654.3,1056,10194944,0,0,0,0,9
5214.81,1053,5491200,0,0,0,0,9
10786.8,1528,16482304,0,0,0,0,9
6928.26,1574,10905088,0,0,0,0,9
10004.6,1007,10074624,0,0,0,0,9
7842.18,1569,12304384,0,0,0,0,9
17442.4,1011,17634304,0,0,0,0,9
104917,1017,106700288,0,0,0,0,8
7504.41,1041,7812096,0,0,0,0,8
9747.81,1034,10079232,0,0,0,0,8
5799.1,1339,7764992,0,0,0,0,8
9490.46,1054,10002944,0,0,0,0,8
6360.87,1544,9821184,0,0,0,0,8
182088,1001,182269952,0,0,-2.77997e-05,0,8
28874.8,1058,30549504,0,0,0,0,8
39112.5,1006,39347200,0,0,0,0,8
144436,1115,161046528,0,0,0,0,8
16374.4,1277,20910080,0,0,0,0,8
12491.4,1719,21472768,0,0,-0.188709,0,8
11569.7,1338,15480320,0,0,0,0,8
14725.3,1077,15859200,0,0,0,0,8
10136.4,1799,18235392,0,0,0,0,8
5888,1268,7465984,0,0,0,0,8
6370.55,1469,9358336,0,0,0,0,8
6914.04,1002,6927872,0,0,0,0,8
8367.13,994,8316928,0,0,0,0,8
13033.1,1063,13854208,0,0,0,0,0
7540.19,1095,8256512,0,0,0,0,0
11066.1,1004,11110400,0,0,0,0,0
9298.44,1031,9586688,0,0,0,0,0
6089.11,1082,6588416,0,0,0,0,0
7666.03,1356,10395136,0,0,0,0,0
10106.8,1157,11693568,0,0,0,0,0
6962.43,1066,7421952,0,0,0,0,0
12948.3,1008,13051904,0,0,0,0,9
7959.57,1097,8731648,0,0,0,0,9
6679.21,1169,7808000,0,0,0,0,9
13756.9,1107,15228928,0,0,0,0,9
51393.8,1083,55659520,0,0,0,0,0
4096,1804,7389184,0,0,0,0,0
4119.8,2926,12054528,0,0,0,0,0
4096,1118,4579328,0,0,0,0,0
9169.64,1016,9316352,0,0,0,0,0
36394.7,1067,38833152,0,0,0.0178029,0,0
27330.9,1027,28068864,0,0,0,0,0
58143.6,1013,58899456,0,0,0,0,0
13832.3,1294,17899008,0,0,0,0,0
13435.7,1060,14241792,0,0,0,0,0
15755.9,1080,17016320,0,0,0,0,0
8857.95,2910,25776640,0,0,0,0,0
13989.8,1288,18018816,0,0,0,0,8
18877.2,1027,19386880,0,0,0,0,8
77723.7,1031,80133120,0,0,0,0,8
26241.1,1035,27159552,0,0,0,0,8
26836.7,1064,28554240,0,0,0,0,8
25229.2,1001,25254400,0,0,0,0,8
20342.9,1173,23862272,0,0,0,0,8
28611.8,1021,29212672,0,0,0,0,8
22155.1,1001,22177280,0,0,0,0,8
25311.2,1023,25893376,0,0,0,0,8
25983.4,1075,27932160,0,0,0,0,8
15164.1,1142,17317376,0,0,0,0,8
8925.43,1133,10112512,0,0,0,0,8
8180.31,1314,10748928,0,0,0,0,8
48032.9,1001,48080896,0,0,0,0,8
107141,1001,107248128,0,0,0,0,8
108301,1132,122596864,0,0,0,0,8
42221.4,1158,48892416,0,0,0,0,8
22904.6,1119,25630208,0,0,0,0,8
39689,1053,41792512,0,0,0,0,8
47003.8,1180,55464448,0,0,0,0,8
17087.5,1163,19872768,0,0,0,0,8
10171.3,1066,10842624,0,0,0,0,8
16559.2,1441,23861760,0,0,0,0,8
10093.3,1110,11203584,0,0,0,0,8
16000.1,1111,17776128,0,0,0,0,8
13007.5,1019,13254656,0,0,0,0,8
4133.43,7551,31211520,1,1,0,0,0
26836.3,1013,27185152,0,0,0,0,0
31143.7,1050,32700928,0,0,0,0,0
57308.4,1194,68426240,0,0,0,0,0
5576.12,1017,5670912,0,0,0,0,0
6459.69,2942,19004416,0,0,0.000628761,0,0
4096,1906,7806976,0,0,0,0,0
5232.17,1383,7236096,0,0,0,0,0
22932.4,1052,24124928,0,0,-0.0379577,0,0
16683.4,1057,17634304,0,0,0,0,9
20155.9,1003,20216320,0,0,0,0,9
20246.8,1034,20935168,0,0,0,0,9
17837.9,1060,18908160,0,0,0,0,9
4277.37,5502,23534080,0,0,0,0,0
5382.34,1050,5651456,0,0,0,0,0
6765.78,1152,7794176,0,0,0,0,9
4272.97,1435,6131712,0,0,0,0,9
12729.8,1159,14753792,0,0,0,0,9
18235.9,1107,20187136,0,0,0,0,9
14387.8,1196,17207808,0,0,0,0,9
18634.3,1010,18820608,0,0,0,0,9
16730,1027,17181696,0,0,0,0,9
18353.8,1074,19712000,0,0,0,0,9
15938.2,1005,16017920,0,0,0,0,9
12180.6,1039,12655616,0,0,0,0,9
5805.77,1320,7663616,0,0,0,0,9
4096,5072,20774912,0,0,0,0,9
4095.36,11228,45982720,1,1,0,0,9
4127.77,1805,7450624,0,0,0,0,9
19476.5,1497,29156352,0,0,0.00205288,0,9
4181.76,2770,11583488,0,0,0,0,9
